TIMES	P	J	V	E	D	GP	GC	SG	
1	Palmeiras	Palmeiras		80	38	24	8	6	62	32	30	
2	Santos	Santos	Subiu1	71	38	22	5	11	59	35	24	62
3	Flamengo	Flamengo	Desceu1	71	38	20	11	7	52	35	17	
4	Atlético-MG	Atlético-MG		62	38	17	11	10	61	53	8	
5	Botafogo	Botafogo	Subiu1	59	38	17	8	13	43	39	4	
6	Atlético-PR	Atlético-PR	Desceu1	57	38	17	6	15	38	32	6	
7	Corinthians	Corinthians		55	38	15	10	13	48	42	6	48
8	Ponte Preta	Ponte Preta	Subiu2	53	38	15	8	15	48	52	-4	
9	Grêmio	Grêmio	Desceu1	53	38	14	11	13	41	44	-3	
10	São Paulo	São Paulo	Subiu1	52	38	14	10	14	44	36	8	
11	Chapecoense	Chapecoense	Desceu2	52	38	13	13	12	49	56	-7	
12	Cruzeiro	Cruzeiro	Subiu1	51	38	14	9	15	48	49	-1	
13	Fluminense	Fluminense	Desceu1	50	38	13	11	14	45	45	0	
14	Sport	Sport	Subiu2	47	38	13	8	17	49	55	-6	41
15	Coritiba	Coritiba	Desceu1	46	38	11	13	14	41	42	-1	
16	Vitória	Vitória	Desceu1	45	38	12	9	17	51	53	-2	39
17	Internacional	Internacional		43	38	11	10	17	35	41	-6	
18	Figueirense	Figueirense		37	38	8	13	17	30	50	-20	
19	Santa Cruz	Santa Cruz		31	38	8	7	23	45	69	-24	
20	América-MG	América-MG		28	38	7	7	24	23	58	-35	